"courseID","course_title","id","value","name","full_name","semester","document","school","instructor","section","keyword","goal","color","course_desc","text","department","N.Sections","year","course_level","total_enrolled","all_semesters","all_keywords","all_goals","sustainability_classification","freq"
"SOCI-235","Migration, Law and Society",32,"C","Social Analysis","C - Social Analysis","F23",34680,"Dana and David Dornsife College of Letters, Arts and Sciences","Del Real, Deisy",61521,"policies",16,"#00689D","Migration, Law and Society - Migration policies worldwide are negotiated by different stakeholders and create different contexts of reception that differently impact the everyday lives and livelihoods of migrants.","migration  law and society   migration policies worldwide are negotiated by different stakeholders and create different contexts of reception that differently impact the everyday lives and livelihoods of migrants ","SOCI",1,"AY24","undergrad lower division",0,"SP22, SP23, F23","law,migrants,policies,migration","10,16","SDG-Related",1
"SOCI-242","Sociology, Demography and Health",32,"C","Social Analysis","C - Social Analysis","F23",34687,"Dana and David Dornsife College of Letters, Arts and Sciences","Mc Gene, Juliana",61540,"disease",3,"#4C9F38","Sociology, Demography and Health - Sociological and demographic concepts focusing on the causes of disease, health and wellness. Empirical analysis of population composition and its connection to health.","sociology  demography and health   sociological and demographic concepts focusing on the causes of disease  health and wellness  empirical analysis of population composition and its connection to health ","SOCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","disease,wellness","3","SDG-Related",1
"SOCI-242","Sociology, Demography and Health",32,"C","Social Analysis","C - Social Analysis","F23",34687,"Dana and David Dornsife College of Letters, Arts and Sciences","Mc Gene, Juliana",61540,"wellness",3,"#4C9F38","Sociology, Demography and Health - Sociological and demographic concepts focusing on the causes of disease, health and wellness. Empirical analysis of population composition and its connection to health.","sociology  demography and health   sociological and demographic concepts focusing on the causes of disease  health and wellness  empirical analysis of population composition and its connection to health ","SOCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","disease,wellness","3","SDG-Related",1
"SOCI-242","Sociology, Demography and Health",25,"Category VI","Social Issues","Category VI - Social Issues","F23",34687,"Dana and David Dornsife College of Letters, Arts and Sciences","Mc Gene, Juliana",61540,"disease",3,"#4C9F38","Sociology, Demography and Health - Sociological and demographic concepts focusing on the causes of disease, health and wellness. Empirical analysis of population composition and its connection to health.","sociology  demography and health   sociological and demographic concepts focusing on the causes of disease  health and wellness  empirical analysis of population composition and its connection to health ","SOCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","disease,wellness","3","SDG-Related",1
"SOCI-242","Sociology, Demography and Health",25,"Category VI","Social Issues","Category VI - Social Issues","F23",34687,"Dana and David Dornsife College of Letters, Arts and Sciences","Mc Gene, Juliana",61540,"wellness",3,"#4C9F38","Sociology, Demography and Health - Sociological and demographic concepts focusing on the causes of disease, health and wellness. Empirical analysis of population composition and its connection to health.","sociology  demography and health   sociological and demographic concepts focusing on the causes of disease  health and wellness  empirical analysis of population composition and its connection to health ","SOCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","disease,wellness","3","SDG-Related",1
"SOCI-270","Sociological Theory",32,"C","Social Analysis","C - Social Analysis","F23",34694,"Dana and David Dornsife College of Letters, Arts and Sciences","Werth, Robert",61511,NA,NA,NA,"Sociological Theory - Historical and contemporary approaches to sociological theory; analysis of conceptual frameworks applied to the study of society and social interaction.","sociological theory   historical and contemporary approaches to sociological theory  analysis of conceptual frameworks applied to the study of society and social interaction ","SOCI",2,"AY24","undergrad lower division",0,"F20, SP21, SU21, F21, SP22, F22, SP23, F23",NA,"","Not Related",NA
"SOCI-314","Analyzing Social Statistics",35,"F","Quantitative Reasoning","F - Quantitative Reasoning","F23",34711,"Dana and David Dornsife College of Letters, Arts and Sciences","Biblarz, Tim",61487,NA,NA,NA,"Analyzing Social Statistics - Sociological measurement, univariate description, elementary correlation, introduction to statistical inference.","analyzing social statistics   sociological measurement  univariate description  elementary correlation  introduction to statistical inference ","SOCI",2,"AY24","undergrad upper division",0,"F20, SP21, F21, SP22, F22, SP23, F23",NA,"","Not Related",NA
"SPAN-380","Literature of Mexico",31,"B","Humanistic Inquiry","B - Humanistic Inquiry","SP23",35301,"Dana and David Dornsife College of Letters, Arts and Sciences","Steinberg, Samuel ",62270,"colonial times",10,"#DD1367","Literature of Mexico - Principal writers and their works from Colonial times to the present. Non-majors may write assignments in English. Recommended preparation: advanced comprehension of oral and written Spanish. ","literature of mexico   principal writers and their works from colonial times to the present  non majors may write assignments in english  recommended preparation  advanced comprehension of oral and written spanish  ","SPAN",1,"AY23","undergrad upper division",1,"F20, SP21, SP22, F22, SP23","colonial times","10","SDG-Related",1
"SSCI-135","Maps in the Digital World",35,"F","Quantitative Reasoning","F - Quantitative Reasoning","F23",35388,"Dana and David Dornsife College of Letters, Arts and Sciences","Duan, Leilei",35619,NA,NA,NA,"Maps in the Digital World - The role of formal reasoning, abstract representation and empirical analysis in building maps for sharing knowledge across the physical, life and social sciences and humanities.","maps in the digital world   the role of formal reasoning  abstract representation and empirical analysis in building maps for sharing knowledge across the physical  life and social sciences and humanities ","SSCI",1,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23",NA,"","Not Related",NA
"SSCI-165","Sustainability Science in the City",36,"G","Citizenship in a Diverse World","G - Citizenship in a Diverse World","F23",35398,"Dana and David Dornsife College of Letters, Arts and Sciences","Vos, Robert, O.",35628,"public policy",16,"#00689D","Sustainability Science in the City - The influence of sustainability science on public policy and vice versa in the context of social/ethical theories, analytical methods and solutions.","sustainability science in the city   the influence of sustainability science on public policy and vice versa in the context of social ethical theories  analytical methods and solutions ","SSCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","sustainability,city,policy,public policy","11,16","SDG-Related",1
"SSCI-165","Sustainability Science in the City",36,"G","Citizenship in a Diverse World","G - Citizenship in a Diverse World","F23",35398,"Dana and David Dornsife College of Letters, Arts and Sciences","Vos, Robert, O.",35628,"city",11,"#FD9D24","Sustainability Science in the City - The influence of sustainability science on public policy and vice versa in the context of social/ethical theories, analytical methods and solutions.","sustainability science in the city   the influence of sustainability science on public policy and vice versa in the context of social ethical theories  analytical methods and solutions ","SSCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","sustainability,city,policy,public policy","11,16","SDG-Related",1
"SSCI-165","Sustainability Science in the City",36,"G","Citizenship in a Diverse World","G - Citizenship in a Diverse World","F23",35398,"Dana and David Dornsife College of Letters, Arts and Sciences","Vos, Robert, O.",35628,"policy",16,"#00689D","Sustainability Science in the City - The influence of sustainability science on public policy and vice versa in the context of social/ethical theories, analytical methods and solutions.","sustainability science in the city   the influence of sustainability science on public policy and vice versa in the context of social ethical theories  analytical methods and solutions ","SSCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","sustainability,city,policy,public policy","11,16","SDG-Related",1
"SSCI-165","Sustainability Science in the City",36,"G","Citizenship in a Diverse World","G - Citizenship in a Diverse World","F23",35398,"Dana and David Dornsife College of Letters, Arts and Sciences","Vos, Robert, O.",35628,"sustainability",11,"#FD9D24","Sustainability Science in the City - The influence of sustainability science on public policy and vice versa in the context of social/ethical theories, analytical methods and solutions.","sustainability science in the city   the influence of sustainability science on public policy and vice versa in the context of social ethical theories  analytical methods and solutions ","SSCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","sustainability,city,policy,public policy","11,16","SDG-Related",2
"SSCI-165","Sustainability Science in the City",32,"C","Social Analysis","C - Social Analysis","F23",35398,"Dana and David Dornsife College of Letters, Arts and Sciences","Vos, Robert, O.",35628,"public policy",16,"#00689D","Sustainability Science in the City - The influence of sustainability science on public policy and vice versa in the context of social/ethical theories, analytical methods and solutions.","sustainability science in the city   the influence of sustainability science on public policy and vice versa in the context of social ethical theories  analytical methods and solutions ","SSCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","sustainability,city,policy,public policy","11,16","SDG-Related",1
"SSCI-165","Sustainability Science in the City",32,"C","Social Analysis","C - Social Analysis","F23",35398,"Dana and David Dornsife College of Letters, Arts and Sciences","Vos, Robert, O.",35628,"city",11,"#FD9D24","Sustainability Science in the City - The influence of sustainability science on public policy and vice versa in the context of social/ethical theories, analytical methods and solutions.","sustainability science in the city   the influence of sustainability science on public policy and vice versa in the context of social ethical theories  analytical methods and solutions ","SSCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","sustainability,city,policy,public policy","11,16","SDG-Related",1
"SSCI-165","Sustainability Science in the City",32,"C","Social Analysis","C - Social Analysis","F23",35398,"Dana and David Dornsife College of Letters, Arts and Sciences","Vos, Robert, O.",35628,"policy",16,"#00689D","Sustainability Science in the City - The influence of sustainability science on public policy and vice versa in the context of social/ethical theories, analytical methods and solutions.","sustainability science in the city   the influence of sustainability science on public policy and vice versa in the context of social ethical theories  analytical methods and solutions ","SSCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","sustainability,city,policy,public policy","11,16","SDG-Related",1
"SSCI-165","Sustainability Science in the City",32,"C","Social Analysis","C - Social Analysis","F23",35398,"Dana and David Dornsife College of Letters, Arts and Sciences","Vos, Robert, O.",35628,"sustainability",11,"#FD9D24","Sustainability Science in the City - The influence of sustainability science on public policy and vice versa in the context of social/ethical theories, analytical methods and solutions.","sustainability science in the city   the influence of sustainability science on public policy and vice versa in the context of social ethical theories  analytical methods and solutions ","SSCI",7,"AY24","undergrad lower division",0,"F20, SP21, F21, SP22, F22, SP23, F23","sustainability,city,policy,public policy","11,16","SDG-Related",2
