"","classes","sdg1_weight","sdg2_weight","sdg3_weight","sdg4_weight","sdg5_weight","sdg6_weight","sdg7_weight","sdg8_weight","sdg9_weight","sdg10_weight","sdg11_weight","sdg12_weight","sdg13_weight","sdg14_weight","sdg15_weight","sdg16_weight","sdg17_weight","total_weight"
"3753","PHYS-440",NA,NA,NA,NA,NA,0.54,0.3,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,1.95
"3754","PHYS-492",NA,NA,NA,NA,NA,0.67,1.97,NA,0.63,NA,NA,NA,0.45,NA,NA,NA,NA,3.72
"3755","PHYS-493",NA,NA,NA,NA,NA,NA,NA,0.59,1.53,NA,NA,NA,NA,NA,NA,NA,1,3.12
"3756","PHYS-500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"3757","PHYS-504",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"3758","PHYS-508A",NA,NA,NA,NA,NA,1.14,1.97,NA,0.63,NA,0.41,NA,0.45,NA,NA,NA,NA,4.6
"3759","PHYS-508B",NA,NA,NA,NA,NA,1.14,1.97,NA,0.63,NA,0.41,NA,0.45,NA,NA,NA,NA,4.6
"3760","PHYS-510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3761","PHYS-518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3762","PHYS-530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3763","PHYS-558A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3764","PHYS-558B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3765","PHYS-590",NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,1,1.48
"3766","PHYS-593",NA,NA,NA,NA,NA,NA,NA,0.59,0.42,NA,NA,NA,NA,NA,NA,NA,2,3.01
"3767","PHYS-640",NA,NA,NA,NA,NA,0.34,0.83,NA,0.35,NA,0.91,NA,0.56,NA,NA,NA,NA,2.99
"3768","PHYS-660",NA,NA,NA,0.4,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"3769","PHYS-690",NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.4
"3770","PHYS-720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,0.67
"3771","PJMT-500",NA,NA,NA,0.13,NA,NA,NA,NA,0.35,NA,NA,0.07,NA,NA,NA,NA,1,1.55
"3772","PJMT-505",0.05,NA,NA,NA,NA,NA,NA,0.98,1.32,NA,NA,NA,NA,NA,NA,NA,NA,2.35
"3773","PJMT-510",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"3774","PJMT-515",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,1,1.28
"3775","PJMT-520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3776","PJMT-525",NA,NA,NA,NA,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,1,2.53
"3777","PJMT-530",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"3778","PJMT-535",NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,1,7.7
"3779","PJMT-540",NA,NA,NA,NA,NA,NA,NA,0.82,1.59,NA,NA,NA,0.39,NA,NA,0.11,NA,2.91
"3780","PJMT-545",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"3781","PJMT-550",NA,0.57,NA,NA,NA,NA,0.99,0.74,4.56,NA,NA,5.28,1.02,NA,0.62,NA,1,14.78
"3782","PJMT-555",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"3783","PLUS-650",0.64,NA,NA,NA,0.29,NA,NA,0.98,NA,0.44,0.11,NA,0.26,NA,NA,1.14,NA,3.86
"3784","PLUS-653",1.51,NA,NA,0.2,NA,0.13,NA,0.73,5.28,NA,2.23,0.64,0.39,NA,0.14,0.11,2,13.36
"3785","PLUS-660",0.94,NA,NA,NA,NA,NA,NA,7.76,0.98,0.66,0.11,NA,NA,NA,NA,0.11,1,11.56
"3786","PLUS-661",0.28,0.07,NA,0.27,0.18,0.2,NA,0.75,0.77,0.27,2.07,0.21,NA,NA,NA,1.33,1,7.4
"3787","PLUS-662",NA,NA,NA,0.07,NA,0.13,NA,1.33,0.92,NA,0.17,0.21,NA,NA,NA,NA,3,5.83
"3788","PLUS-663",NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,0.83
"3789","PM-500",0.37,NA,5.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6.59
"3790","PM-501",0.73,NA,NA,11.05,NA,NA,NA,NA,0.28,NA,0.24,NA,0.39,NA,NA,NA,NA,12.69
"3791","PM-502",1.42,NA,NA,NA,0.29,0.47,0.38,2.34,0.97,7.15,0.11,3.03,2.8,0.39,1.79,0.11,NA,21.25
"3792","PM-503",0.7,NA,NA,0.67,NA,0.13,NA,0.33,0.91,0.44,0.28,0.21,NA,NA,NA,0.7,NA,4.37
"3793","PM-504",0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82
"3794","PM-508",1.15,NA,NA,NA,NA,NA,NA,1.33,1.33,NA,0.83,NA,NA,NA,NA,0.11,1,5.75
"3795","PM-510",0.37,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.72
"3796","PM-511A",NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,1,1.63
"3797","PM-511B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3798","PM-511C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3799","PM-512",0.36,NA,0.63,NA,1.58,NA,NA,0.33,NA,1.68,NA,NA,NA,NA,NA,NA,NA,4.58
"3800","PM-513",NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,0.55
"3801","PM-515",0.37,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.72
"3802","PM-517A",NA,NA,0.63,NA,1.58,NA,NA,0.59,1.25,0.8,NA,NA,NA,NA,NA,NA,3,7.85
"3803","PM-517B",NA,NA,38.35,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,2,41.18
"3804","PM-518A",NA,NA,5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85
"3805","PM-520",NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,NA,NA,NA,NA,NA,1.04
"3806","PM-522A",NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,0.55
"3807","PM-522B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3808","PM-523",NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,0.29,NA,NA,0.07,NA,NA,1.19
"3809","PM-525",2.03,NA,6.06,10.72,10.15,NA,NA,0.74,NA,2.76,0.49,0.72,0.26,NA,0.57,0.3,NA,34.8
"3810","PM-526",1.27,NA,NA,0.33,NA,NA,NA,NA,1.46,0.44,0.35,NA,NA,NA,NA,0.7,NA,4.55
"3811","PM-527",NA,NA,6.62,NA,NA,NA,NA,NA,NA,NA,0.57,0.14,NA,NA,0.57,NA,NA,7.9
"3812","PM-528",0.37,NA,NA,0.4,NA,0.13,NA,NA,1.18,NA,0.52,0.21,NA,NA,NA,0.11,1,3.92
